Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,MCap_(Cr),Avg_RS_Vol_(000),Avg_Daily_Vol,Price_Percentage_Chg_Vs_52_Wk_High,Price_Percentage_Chg_Vs_52_Wk_Low,Vol_Percentage_Chg_Vs_50_Days_Avg,Price_Percentage_Chg_Vs_50_DMA,Price_Percentage_Chg_Vs_200_DMA,RS_3_Mth,RS_6_Mth,IPO_Date,Industry_Group
"1","STAR","Strides Pharma Science","1509.00","-26.10","-1.70","86","65","93","A+","32","14116.47","581937","385644","-9.91","228.72","123.05","9.26","54.79","89.00","91.00","-","Medical-Generic Drugs   ",
"2","GET&D","Ge T&D India","1670.00","-36.15","-2.12","86","77","94","C","47","43685.46","745319","446299","-15.19","388.87","-69.99","0.27","33.64","68.00","76.00","-","Electrical-Power/Equipmt",
"3","NETWEB","Netweb Technologies India Ltd","2515.00","-74.45","-2.88","85","99","89","B+","17","14595.95","479575","190686","-14.74","250.59","-25.31","-0.25","23.83","74.00","71.00","2023-07-27","Computer Sftwr-Database ",
"4","KAYNES","Kaynes Technology India","5312.25","-200.05","-3.63","85","99","90","B+","11","35284.78","2746162","516949","-10.11","155.44","-33.24","5.39","48.78","84.00","91.00","2022-11-22","Elec-Misc Products      ",
"5","TRENT","Trent","7360.35","-127.65","-1.70","85","99","93","A-","7","266188.67","7393567","1004513","-11.80","284.99","-41.25","1.44","51.38","84.00","87.00","-","Retail-Department Stores",
"6","IFBIND","Ifb Industries","2010.00","-175.55","-8.03","84","66","85","A","29","8855.63","169419","84288","-14.83","157.12","63.38","11.69","38.17","87.00","86.00","-","Hsehold-Appliances/Wares",
"7","524506","Coral Laboratories","780.20","-29.80","-3.68","84","91","91","C","41","289.41","3601","4616","-21.90","209.10","-62.09","-8.45","37.33","58.00","87.00","-","Medical-Diversified     ",
"8","522195","Frontier Springs","2102.15","-42.90","-2.00","84","85","92","B+","124","844.94","16710","7949","-12.83","256.91","-95.79","1.69","39.51","85.00","87.00","-","Steel-Specialty Alloys  ",
"9","DIXON","Dixon Technologies (India)","13939.00","-1116.30","-7.41","84","95","92","B+","29","90086.40","7983953","572778","-10.65","196.60","628.58","9.52","59.15","88.00","88.00","2017-09-18","Hsehold-Appliances/Wares",
"10","531201","Shilchar Technologies","7135.00","142.00","2.03","83","96","87","B","47","5333.56","82131","11511","-8.01","216.27","625.80","14.05","35.54","87.00","78.00","-","Electrical-Power/Equipmt",
"11","517370","Incap","99.76","-5.24","-4.99","83","87","90","A","21","53.90","703","7042","-18.76","169.23","-66.34","27.79","52.06","95.00","92.00","-","Electronic-Parts        ",
"12","543619","Concord Control Systems","1649.00","-1.00","-0.06","83","99","92","B+","11","987.03","18205","11040","-20.03","206.69","10.96","-5.10","52.81","78.00","93.00","2022-10-10","Elec-Misc Products      ",
"13","TARIL","Transformers And Rtf. (India)","830.00","-6.75","-0.81","83","98","94","A","47","12558.19","202989","244565","-7.65","489.26","-24.86","17.24","55.61","90.00","79.00","-","Electrical-Power/Equipmt",
"14","543620","Insolation Energy","3460.00","-86.50","-2.44","83","99","96","A","76","7388.07","89455","25854","-13.06","582.02","-9.10","-0.48","49.86","74.00","85.00","2022-10-10","Energy-Solar            ",
"15","ARIHANTACA","Arihant Academy","218.00","0.00","0.00","82","63","83","A","12","132.00","2742","12576","-7.23","107.62","-80.92","14.44","36.92","91.00","91.00","2022-12-29","Consumer Svcs-Education ",
"16","543744","Rex Sealing And Packing Industries","204.00","-9.40","-4.40","82","63","87","B","123","47.38","653","3200","-26.30","N/A","150.00","N/A","N/A","76.00","89.00","2023-01-12","Machinery-Gen Industrial",
"17","543244","Shine Fashions (India)","348.25","-7.10","-2.00","82","98","93","B+","100","99.43","637","1830","-18.60","313.20","-72.68","2.94","105.41","75.00","91.00","2020-11-02","Apparel-Clothing Mfg    ",
"18","505978","Triton Valves","4850.10","-144.20","-2.89","82","68","94","A-","42","591.33","6834","1409","-12.99","244.43","12.35","3.80","52.25","87.00","91.00","-","Auto/Truck-Original Eqp ",
"19","ASTERDM","Aster Dm Healthcare","451.95","8.50","1.92","81","38","78","A-","69","22150.90","572984","1267805","-1.30","76.04","422.66","7.54","21.53","84.00","77.00","2018-02-26","Medical-Hospitals       ",
"20","LUPIN","Lupin (Nse)","2156.75","25.20","1.18","81","57","78","B","32","97240.24","2419427","1121793","-6.71","89.81","-7.03","-2.65","19.94","67.00","75.00","-","Medical-Generic Drugs   ",
"21","AMBER","Amber Enterprises India","6117.00","-138.20","-2.21","81","81","86","A-","29","21127.56","4270363","698114","-14.56","118.69","232.02","30.91","51.02","95.00","91.00","2018-01-30","Hsehold-Appliances/Wares",
"22","SYMPHONY","Symphony","1610.00","-54.15","-3.25","81","89","87","A+","29","11427.88","320203","198884","-14.40","102.95","-31.65","2.48","41.32","81.00","86.00","-","Hsehold-Appliances/Wares",
"23","526731","Bright Brothers","269.00","-3.85","-1.41","81","53","88","A+","13","154.98","4229","15723","-19.33","104.00","-73.32","-6.82","40.61","82.00","90.00","-","Chemicals-Plastics      ",
"24","WOMANCART","Womancart Ltd","288.70","0.00","0.00","81","84","89","B-","80","142.91","795","2752","-12.49","191.62","-41.86","-2.33","52.72","52.00","90.00","2023-10-27","Cosmetics/Personal Care ",
"25","JUBLPHARMA","Jubilant Pharmova","1060.00","-48.05","-4.34","81","59","92","B+","41","17649.13","748933","706541","-15.01","247.62","-16.61","3.45","44.90","86.00","88.00","-","Medical-Diversified     ",
"26","VOLTAMP","Voltamp Transformers","12305.00","-341.05","-2.70","80","95","84","B-","47","12794.01","243208","19765","-16.86","194.10","112.67","-7.04","16.25","43.00","55.00","-","Electrical-Power/Equipmt",
"27","539495","Rajkot Investment Trust","64.17","-3.37","-4.99","80","63","87","A+","73","6.75","406","6320","-13.10","N/A","-80.25","N/A","N/A","97.00","94.00","-","Finance-Investment Mgmt ",
"28","WEL","Wonder Electricals","1452.50","-17.35","-1.18","80","83","96","A-","29","1969.75","94439","65018","-10.33","460.90","-80.91","2.06","51.27","76.00","83.00","2019-08-06","Hsehold-Appliances/Wares",
"29","REMUS","Remus Pharmaceuticals Ltd","2400.00","-49.00","-2.00","79","5","79","B+","39","1442.95","16757","6982","-15.34","104.08","-35.55","-4.94","23.73","69.00","76.00","2023-05-29","Medical-Whlsle Drg/Suppl",
"30","MOTHERSON","Samvardhana Motherson International","190.50","-1.93","-1.00","79","87","80","A","42","135399.42","3624012","19023687","-12.21","121.69","-33.27","-3.26","22.96","54.00","72.00","-","Auto/Truck-Original Eqp ",
"31","BLUESTARCO","Blue Star","1849.90","-19.65","-1.05","79","93","81","B","18","36012.77","898032","485449","-15.90","129.67","-62.49","-0.65","21.71","69.00","68.00","-","Bldg-A/C & Heating Prds ",
"32","544143","Royal Sense Ltd","204.45","-0.55","-0.27","79","70","82","A-","9","100.45","1963","9600","-12.29","98.01","25.00","23.50","39.86","93.00","90.00","2024-03-19","Medical-Systems/Equip   ",
"33","AJMERA","Ajmera Real.& Infra Ida. (Nse)","832.00","-70.15","-7.78","79","87","86","A-","84","3265.33","133661","160650","-11.82","175.45","63.46","27.09","35.31","94.00","86.00","-","Bldg-Resident/Comml     ",
"34","ABREL","Aditya Birla Real Estate Ltd","2660.00","-108.15","-3.91","79","74","87","A","38","30919.13","1542103","579738","-15.29","163.51","-60.42","5.78","35.86","84.00","81.00","-","Paper & Paper Products  ",
"35","509597","Hardcastle & Waud","1049.95","1.10","0.10","79","97","87","B-","77","71.22","246","234","-22.50","N/A","-91.45","N/A","N/A","76.00","79.00","-","Chemicals-Specialty     ",
"36","543709","Pngs Gargi Fashion Jewellery","954.00","-6.00","-0.63","79","99","89","B+","93","994.37","21436","22470","-10.34","242.86","24.61","7.95","43.80","85.00","91.00","2022-12-20","Retail/Whlsle-Jewelry   ",
"37","KICL","Kalyani Investment","7034.95","-370.25","-5.00","79","76","90","B","73","3232.37","32382","4603","-14.54","200.53","78.25","17.31","49.02","90.00","89.00","-","Finance-Investment Mgmt ",
"38","VMART","V-Mart Retail","4344.15","38.00","0.88","79","40","90","B","7","8520.58","142440","32789","-3.46","169.98","-40.82","9.61","53.84","86.00","91.00","-","Retail-Department Stores",
"39","FOCE","Foce India","1670.00","0.00","0.00","79","99","91","A","93","817.13","2625","1572","-7.22","138.57","-87.28","3.90","56.00","88.00","91.00","2021-12-28","Retail/Whlsle-Jewelry   ",
"40","DPABHUSHAN","D P Abhushan","1750.00","-1.55","-0.09","79","96","93","B","93","3960.43","176914","101094","-9.19","239.74","-23.01","10.46","49.21","89.00","85.00","2017-10-23","Retail/Whlsle-Jewelry   ",
"41","RSSOFTWARE","Rs Software (India)","250.00","-10.75","-4.12","79","79","95","B-","33","670.34","18894","75577","-31.91","386.93","-16.68","-8.75","18.49","40.00","56.00","-","Computer Sftwr-Desktop  ",
"42","513472","Simplex Castings","320.00","-13.40","-4.02","79","71","97","A","127","239.98","2535","7922","-9.83","616.99","-67.32","11.06","72.73","91.00","92.00","-","Steel-Producers         ",
"43","ARVINDFASN","Arvind Fashions","554.90","-4.05","-0.72","78","68","70","A","100","7447.84","507829","915172","-13.26","87.03","-59.07","-1.55","12.22","68.00","68.00","-","Apparel-Clothing Mfg    ",
"44","WHIRLPOOL","Whirlpool Of India (Nse)","2188.00","-52.05","-2.32","78","60","75","B-","29","28419.96","553536","252987","-10.68","88.86","-62.49","2.18","30.45","70.00","80.00","-","Hsehold-Appliances/Wares",
"45","NAUKRI","Info Edge (India) (Nse)","7605.10","-111.45","-1.44","78","58","77","A","24","99994.14","1656878","217864","-10.23","94.27","68.49","-1.26","20.74","68.00","73.00","-","Internet-Content        ",
"46","501148","Dalal Street Invs.","625.90","12.25","2.00","78","32","79","A","73","19.33","74","119","1.81","N/A","173.95","N/A","N/A","91.00","84.00","-","Finance-Investment Mgmt ",
"47","PITTIENG","Pitti Engineering","1259.00","-10.30","-0.81","78","95","81","B","47","4501.57","88498","70292","-13.63","103.74","-12.02","-4.02","28.58","59.00","77.00","-","Electrical-Power/Equipmt",
"48","VOLTAS","Voltas (Nse)","1754.35","-40.75","-2.27","78","49","83","A-","29","59397.17","3004712","1712721","-9.80","121.32","-23.33","-0.27","27.32","76.00","75.00","-","Hsehold-Appliances/Wares",
"49","GREENPLY","Greenply Industries","379.05","8.55","2.31","78","87","83","B+","40","4584.83","127836","337253","-7.99","148.91","-0.87","-3.12","23.45","60.00","77.00","-","Bldg-Wood Prds          ",
"50","TAINWALCHM","Tainwala Chpt.India","271.20","25.71","10.47","78","68","84","C","13","229.88","11329","41772","-18.14","109.91","577.96","8.07","38.95","85.00","86.00","-","Chemicals-Plastics      ",
"51","DEEPAKFERT","Deepak Fert.& Petrochem.","1155.00","29.50","2.62","78","88","85","A+","77","14208.09","1462563","1266288","-0.76","150.11","37.30","7.91","54.48","85.00","92.00","-","Chemicals-Specialty     ",
"52","PRUDENT","Prudent Corporate Advisory Services","2580.25","-64.05","-2.42","78","95","87","B+","73","10949.25","249188","96575","-9.37","141.81","-75.87","6.84","45.84","85.00","87.00","2022-05-20","Finance-Investment Mgmt ",
"53","NUVAMA","Nuvama Wealth Management Ltd","6735.00","-183.85","-2.66","78","62","87","B+","73","24751.49","1000370","148533","-8.93","181.07","28.26","4.49","34.16","84.00","82.00","-","Finance-Investment Mgmt ",
"54","SMSPHARMA","Sms Pharmaceuticals","280.95","-8.50","-2.94","78","66","87","B-","32","2450.25","135716","483060","-29.41","158.78","-66.89","-14.87","24.31","20.00","70.00","-","Medical-Generic Drugs   ",
"55","TORNTPOWER","Torrent Power","1922.00","-32.70","-1.67","78","72","88","A","90","93946.21","1934762","1006640","-5.65","182.49","-64.65","7.94","32.30","82.00","81.00","-","Utility-Electric Power  ",
"56","543172","Cospower Engineering","532.90","19.90","3.88","78","57","89","A","123","76.95","1268","2380","-0.76","156.37","-78.99","41.88","68.97","97.00","96.00","2020-03-30","Machinery-Gen Industrial",
"57","SHILPAMED","Shilpa Medicare Limited","784.00","-17.25","-2.15","78","77","89","B+","41","7835.50","274766","350467","-18.29","169.96","-7.36","-0.97","39.22","73.00","83.00","-","Medical-Diversified     ",
"58","ZENTEC","Zen Technologies","1699.00","-53.55","-3.06","78","57","90","B+","115","14729.13","734636","432393","-14.95","169.62","-35.78","0.90","43.85","73.00","86.00","-","Aerospace/Defense       ",
"59","NSIL","Nalwa Sons Investments","6422.50","-600.45","-8.55","78","61","93","A-","73","3606.99","207973","32382","-24.22","198.79","74.02","40.50","77.17","96.00","95.00","-","Finance-Investment Mgmt ",
"60","531398","Sce.Ntfd.& Herbal Spp.","234.50","-4.75","-1.99","78","48","94","A","32","154.00","1772","7556","-13.07","206.73","-96.32","11.11","76.35","89.00","96.00","-","Medical-Generic Drugs   ",
"61","504080","Jsl Industries","2688.70","-54.85","-2.00","78","98","96","A+","47","322.09","312","116","-3.91","N/A","-81.03","N/A","N/A","92.00","95.00","-","Electrical-Power/Equipmt",
"62","VINCOFE","Vintage Coffee And Beverages","126.81","-0.24","-0.19","78","62","96","A+","7","1561.23","92256","727517","-11.32","379.43","-9.60","16.21","76.58","94.00","94.00","-","Retail-Department Stores",
"63","BFINVEST","Bf Investment","646.40","-42.90","-6.22","77","97","66","B","73","2596.45","97762","151241","-20.47","54.21","-22.78","10.94","16.97","84.00","73.00","-","Finance-Investment Mgmt ",
"64","ALKEM","Alkem Laboratories","5944.95","-16.00","-0.27","77","90","70","B","41","71272.10","1297699","218286","-7.69","69.83","-57.32","-2.13","11.52","68.00","68.00","-","Medical-Diversified     ",
"65","CARTRADE","Cartrade Tech","987.00","0.30","0.03","77","28","72","A","26","4667.09","400289","405561","-6.41","58.15","-44.71","5.48","21.07","78.00","76.00","2021-08-20","Retail-Internet         ",
"66","538564","James Warren Tea James Warren Tea","314.00","-8.00","-2.48","77","49","76","B","142","119.14","2409","7673","-14.96","53.99","-38.80","4.55","28.78","85.00","86.00","-","Agricultural Operations ",
"67","OBEROIRLTY","Oberoi Realty","1937.35","-47.55","-2.40","77","96","78","A-","125","72171.36","1757858","907352","-6.19","88.84","-39.57","8.33","20.99","83.00","73.00","-","Real Estate Dvlpmt/Ops  ",
"68","ARTEMISMED","Artemis Medicare Services","265.00","-9.85","-3.58","77","94","79","A-","69","3781.99","60322","227629","-13.03","101.95","-61.64","-0.28","31.73","73.00","83.00","2017-07-20","Medical-Hospitals       ",
"69","539176","Hawa Engineers Dt","209.95","-11.00","-4.98","77","68","83","B","75","77.91","1621","7720","-37.88","142.27","-73.20","15.22","29.22","89.00","81.00","-","Metal Proc & Fabrication",
"70","PRIMESECU","Prime Securities","324.80","9.75","3.09","77","96","86","A-","103","1056.93","35254","108542","-4.44","139.04","50.71","7.99","42.28","85.00","88.00","-","Finance-Invest Bnk/Bkrs ",
"71","EFACTOR","E Factor Experiences Ltd","272.80","-5.20","-1.87","77","99","86","B+","43","363.85","10026","36752","-8.98","148.21","-47.76","18.76","50.41","92.00","90.00","2023-10-09","Diversified Operations  ",
"72","526703","Ecoplast","566.90","4.40","0.78","77","35","87","A","13","168.75","1251","2206","-11.42","226.28","-76.75","-2.84","31.06","66.00","82.00","-","Chemicals-Plastics      ",
"73","HIRECT","Hind Rectifiers","1048.00","1.80","0.17","77","71","88","B+","11","1792.98","54907","52392","-13.21","158.19","-20.25","14.79","43.72","91.00","88.00","-","Elec-Misc Products      ",
"74","RBMINFRA","Rbm Infracon","781.00","0.00","0.00","77","99","91","B-","91","789.04","42583","54524","-25.55","273.68","-79.46","-7.17","22.45","72.00","85.00","2023-01-04","Oil&Gas-Field Services  ",
